,titles,companies,date
0,Data Scientist F/H,SHOPOPOP,2022-05-29
1,Data analyst H/F,Groupe IDEA,2022-06-18
2,2021-37861 - Data Scientist expérimenté(e) F/H - Nantes,DSI Pôle Emploi,2022-06-08
3,Analyste DATA H/F,Leasecom,2022-06-19
4,Data Analyst H/F,SINBAD,2022-06-26
5,Data Scientist Climat,Generali France,2022-05-29
6,DATA ANALYST (IT),SMART HUNTER,2022-06-27
7,Consultant(e) Data Science - Bureau de Nantes,Sia Partners,2022-05-29
8,SENIOR DATA SCIENTIST,Generali France,2022-05-29
9,DATA SCIENTIST F/H,HN SERVICES - HN FORMATION - HN RECRUTEMENT GROUPE,2022-06-01
10,Data Analyst Marketing H/F,Kaino,2022-06-23
11,Data analyst,STIMULAB,2022-05-29
12,Data analyst,Ressources Mutuelles Assistance,2022-06-17
13,Data Analyst (H/F),Business & Decision,2022-05-29
14,BUSINESS ANALYST DATA / MDM H/F,U Iris,2022-06-22
